Cultivar Name,Cultivar ID,Subpopulation,Plant Height (cm)
2428,C152,Temperate Japonica,100
10340,W146,Indica I,127.4
108S,W150,Indica II,104.6
2,W129,VI/Aromatic,151.2
4484,W086,Indica II,103.4
452,W195,Indica II,123.8
4595,W138,Indica I,102
76--1,C167,Indica Intermediate,108.23
79,W077,VI/Aromatic,182.4
80B,C114,Indica Intermediate,86.87
88B-1,C030,Indica Intermediate,99.57
88B-2,C031,Indica Intermediate,96.27
93072,W149,Indica Intermediate,112.6
9311,C148,Indica II,117.2
99216,W069,Aus,146.4
A_152,W079,Intermediate,147.6
A_5,W139,Temperate Japonica,96.4
AGNO_(PSBRC28),W307,Indica II,101
Ai-Zi-DAO,W197,Indica II,112.8
Ai_Chueh_Ta_Pai_Ku,W029,Indica Intermediate,147.8
Aichi_Asahi,W290,Temperate Japonica,116.4
Aihechi,C129,Indica Intermediate,166.87
Aijiaonante,C019,Indica I,80.25
Aimakang,C173,Indica I,114.4
Aimi,C178,Indica I,107.67
Aituogu151,C122,Indica I,118.1
Ajaya,W242,Indica Intermediate,106.2
Ak_Tokhum,W050,VI/Aromatic,174.8
AKITAKOMACHI,W305,Temperate Japonica,74
AKP_4,W071,Indica Intermediate,104.6
AMANE,W101,Indica Intermediate,149.8
Amareles,W258,VI/Aromatic,158.4
Amo13_(Sana),W172,Indica II,100.2
Anambae_ndanggalasi,W273,Tropical Japonica,156.2
AnnongwangengB-1,C017,Temperate Japonica,92.67
AnnongwangengB-2,C018,Temperate Japonica,78.27
Ao_Chiu_2_Hao,W144,Indica I,168.4
ARC_10633,W112,Indica III,167.2
Ardito,W061,Japonica Intermediate,121.8
ASD16,W192,Intermediate,121.2
ASD18,W239,Indica Intermediate,109.8
ASWINA_330,W330,Aus,149.6
At354,W223,Indica II,103.6
AUS_371,W296,Aus,138.8
AUS_373,W297,Aus,161.2
AUS_449,W287,Aus,150.2
AZUCENA,C005,Tropical Japonica,163.33
B805D-MR-16-8-3,W078,Indica Intermediate,96.8
Babaili,C101,Temperate Japonica,192.07
Babaomi,W198,Indica Intermediate,180
Baikehualuo,C127,Indica I,152.54
Baikezaohe,C184,Indica I,156.17
Balilla,C150,Temperate Japonica,90.32
Baoxie-7B,C160,Indica Intermediate,83.68
Basmati370,W211,Indica II,97
BASMATI_385,W306,VI/Aromatic,129.6
Bawangbian1,C059,Indica I,113.43
Beizinuo,C199,Indica I,187.53
Benbanggu-1,C076,Indica I,127.36
Benbanggu-2,C077,Indica I,149.8
BERLIN,W009,Indica III,193.8
Bg300,W180,Indica Intermediate,108
BG304,W224,Indica II,116
Bg90-2,W168,Indica II,101.4
Bg94-1,W181,Indica Intermediate,105.8
Bhavani,W212,Indica Intermediate,159.6
BHIM_DHAN,W122,Japonica Intermediate,169.8
Bintapan,W262,Indica I,83.8
Biwusheng,C200,Indica I,189.1
BKN_6987-68-14,W044,Indica II,98.8
BLUE_STICK,W038,Temperate Japonica,138
Bombilla,W120,Temperate Japonica,109.6
BR11,W147,Indica Intermediate,117.6
BR24,W148,Indica Intermediate,168.4
British_Honduras_Creole,W303,Tropical Japonica,157.8
BRRI_DHAN_28,W314,Indica II,111.2
BRRI_DHAN_29,W310,Indica Intermediate,111.2
Buphopa,W127,Japonica Intermediate,142.6
C.B._II,W090,Aus,137.4
C418,W151,Indica II,98
C70,W233,Indica Intermediate,114.2
C_5560,W003,Tropical Japonica,140.4
C_8429,W022,Tropical Japonica,146
CAROLINO_164,W104,Aus,145.4
CDR22,W152,Indica II,110
Celiaj,W082,Temperate Japonica,125
Chacareiro_Uruguay,W027,Temperate Japonica,116.8
ChaoyangyihaoB,C156,Indica I,73.13
Chengduai3hao,C037,Indica I,105.33
Chenghui448,W153,Indica II,103.8
Chengnongshuijing,C050,Indica II,108.81
Chenwan3hao,C176,Indica Intermediate,97.67
chikenuo,C083,Temperate Japonica,174.7
CHOROFA,W264,Indica Intermediate,91.4
Chun_118-33,W036,Indica I,157.8
CHUNJIANGZAO_NO._1,W088,Temperate Japonica,70.6
CIBOGO,W315,Indica II,102
CIGEULIS,W312,Indica II,111.6
CIHERANG,W317,Indica II,110.4
CM1;_HAIPONG,W137,Indica Intermediate,125.6
CNTLR80076-44-1-1-1,W083,Indica Intermediate,116.4
CPSLO_17,W304,Intermediate,95.8
CR203,W182,Indica II,101.2
Criollo_Chivacoa_2,W007,Tropical Japonica,150.8
CSORNUJ,W064,Temperate Japonica,106.2
Cungunuo,C137,Temperate Japonica,170
cunsanli,C074,Temperate Japonica,143.65
CYPRESS,C010,Tropical Japonica,106.7
Dacca6,W256,VI/Aromatic,160
Daegujo,W283,Temperate Japonica,68.4
Dandongludao,C057,Japonica Intermediate,123.63
Dangyu5hao,C069,Indica II,115.8
Dara,W134,Aus,150
Daudzai_Field_Mix,W106,Aus,169.4
Dianjing,W193,Temperate Japonica,121.4
Dianrui409B,C027,Indica Intermediate,100.47
Diantun502,W199,Indica Intermediate,125.2
Dichroa_Alef_Uslkij,W043,Indica Intermediate,105.4
DJ_102,W096,Aus,165.2
DJ_24,W095,Aus,165.8
DNJ_121,W142,Aus,149.4
DNJ_179,W141,Aus,151.6
Doble_Carolina,W028,Aus,164.2
Dodda,W243,Indica II,105.6
Dom_Sufid,C002,VI/Aromatic,177.62
Domsiah,W219,VI/Aromatic,161
Dongtingwanxian,C060,Indica I,114.73
Dourado_Precoce,W288,Tropical Japonica,144.2
Dular,C015,Aus,152.2
E_B_Gopher,W002,Tropical Japonica,157.4
Egyptian_Wild_Type,W089,Indica III,136.4
Eiko,W250,Temperate Japonica,123.2
EMBRAPA_1200,W118,Tropical Japonica,84.2
Er_chiu_ching,W274,Indica I,70.8
Erjiunan1hao,C155,Indica I,69.47
Esiniu,C073,Indica I,167.83
F6,W194,Indica II,108.8
Fanhaopi,C086,Aus,147.17
Feidongtangdao,C181,Temperate Japonica,137.9
Feienuo2,W323,Japonica Intermediate,136.4
Fengaizhan,W154,Indica II,102.4
Funingzipi,C023,Temperate Japonica,89.39
Gallawa,W091,Aus,148.2
Gang46B,W155,Indica Intermediate,98.4
Gaoyangdiandao,C082,Temperate Japonica,156.46
Garia,W286,Aus,154.8
Gasym_Hany,W081,VI/Aromatic,130.2
Gayabyeo,W174,Indica II,84
Gazan,W068,Temperate Japonica,139.8
Geng87-304,C063,Temperate Japonica,115.54
Gerdeh,C003,Japonica Intermediate,141.57
Ginga,W261,Intermediate,132.4
Gizal159,W209,Temperate Japonica,142.4
Gongju73,C039,Indica I,109.43
Govnd,W237,Indica II,115.8
GPNO_1106,W053,Tropical Japonica,152.6
GPNO_5055,W329,Tropical Japonica,147.4
Grassy,W057,Tropical Japonica,182.2
Gu154,C118,Indica II,88.27
Guangkexiangnuo,W319,Temperate Japonica,174.2
Guangluai-4-1,C020,Indica I,78.17
Guangluai15,C158,Indica I,85.17
Guantuibaihe,W325,Temperate Japonica,135.8
Gui630,C166,Indica Intermediate,94.73
Guichao2hao,C042,Indica Intermediate,103.67
Guihuahuang,C052,Temperate Japonica,107
Gumei2hao,W156,Indica I,99.2
GUYANE_1,W145,Indica Intermediate,177.4
Gzhenshan97B,C161,Indica I,93.5
H57-3-1,W019,Japonica Intermediate,124.8
Hanmadao-1,C080,Indica I,170.53
Hanmadao-2,C047,Indica I,97.53
Haobayong1,C179,Temperate Japonica,133.53
Haobuka,C084,Japonica Intermediate,157.62
Haolvguangnian,W326,Japonica Intermediate,155.4
Haomake(K),C185,Japonica Intermediate,145
HB-6-2,W052,Temperate Japonica,98.6
Heen_goda_wee,W275,Tropical Japonica,148.2
Heidu4,C081,Indica I,155.8
Heigeng2hao,C154,Temperate Japonica,77.43
Heiheaihui,W200,Indica Intermediate,115.4
Heimichut,W248,Indica I,145.4
Hengxianliangchun,C182,Indica I,161.2
Heo_Trang,W114,Indica III,181.4
Hi_Muke,W108,Aus,161.2
HKG_98,W105,Aus,156.6
Hongainuo,C098,Indica Intermediate,178.27
Hongkezhenuo,C106,Temperate Japonica,191
Hongmisandan,C195,Temperate Japonica,171.79
Hongwan1hao,C065,Indica Intermediate,109.07
Hsin_Hsing_Pai_Ku,W132,Indica I,156
Huajingxian74,W157,Indica Intermediate,95.2
Huangkezaonian,C075,Temperate Japonica,131.3
Huangpinuo,C144,Temperate Japonica,206.73
Huangsiguizhan,C045,Indica Intermediate,106.23
Huhui628,C029,Japonica Intermediate,94
Huke3hao,C043,Indica I,106.33
IARI_6621,W131,Aus,161
IARI_6626,W020,Aus,136.6
Iksan438,W175,Intermediate,101
INIAP_7,W040,Indica II,108.4
IR50,W213,Indica Intermediate,137.4
IR58025B,W189,Indica II,114.2
ir6,W222,Indica II,115.6
IR65600-27-1-2-2,W269,Indica Intermediate,96
IR661-1,C164,Indica II,95.53
IR66897B,W188,Indica II,102
IR68552-55-3-2,W187,Indica Intermediate,105.2
IR72,W169,Indica II,93.6
IR_2061-214-2-3,W073,Indica II,98.8
IR_2071-625-1-252,W291,Indica II,96.6
IR_238,W066,Indica Intermediate,102.2
IR_36,W298,Indica II,95.2
IR_58614-B-B-8-2,W084,Indica Intermediate,114.4
IR_64,W301,Indica II,95.6
IR_661-1-140-3-117,W289,Indica II,104.4
IR_8,W293,Indica II,83.4
IR_9660-48-1-1-2,W046,Indica II,96
IRAT109,C153,Tropical Japonica,105.07
IRAT352,W217,Indica Intermediate,133.8
Ittikulama,W140,Aus,145.8
Jabor_sail,W279,Aus,166.6
JAYA,W299,Indica Intermediate,90.8
Jhona349,W214,Aus,153.8
Jiabala,C040,Indica I,102.46
Jiangnongzao1hao,C117,Indica Intermediate,110.43
Jiangxisimiao,W201,Indica Intermediate,108.2
Jiefangxian,C125,Indica I,145.65
Jinbaoyin,C097,Indica Intermediate,172.2
Jindao1hao,C056,Temperate Japonica,99.03
JinghuB,W327,Temperate Japonica,89.8
Jinnante43B,C112,Indica I,77.43
JinnanteB,C022,Indica I,77.3
Jinxibai-1,C096,Indica Intermediate,166.4
Jinyou1hao,C049,Indica Intermediate,103.13
Jinzhinuo,C132,Indica Intermediate,169.67
JP_5,W107,Indica Intermediate,163.2
Jumli_dhan,W047,Japonica Intermediate,203.2
JWR221,C174,Indica II,111.43
Jyanak,W143,Japonica Intermediate,196.8
K8C-263-3,W035,Indica Intermediate,196.2
Kao_Chio_Lin_Chou,W058,Indica I,150.6
Karayal,W092,Aus,144.8
Karnal_Local,W215,Aus,154.4
KECHENGNUO_NO._4,W085,Indica Intermediate,118.6
Khao_Daeng,W210,Indica I,166.4
Khao_Luang,W021,Japonica Intermediate,142.4
Khazar,W173,Tropical Japonica,121.6
Khoia_boro,W292,Aus,164.2
Kin_Shan_Zim,W124,Indica I,134
KRASNODARSKIJ_3352,W117,Temperate Japonica,98.6
KRASNODARSKIJ_424,W012,Temperate Japonica,100.8
KUBANETS_508,W045,Temperate Japonica,98
KUNTLAN,W302,Tropical Japonica,166.8
L301B,C157,Indica I,75.1
La110,W265,Indica Intermediate,120.4
LA_PLATA_GENA_F.A.,W136,VI/Aromatic,188.6
LABELLE,W294,Intermediate,118.8
Lakkhi_kajal,W277,Aus,142
Laoguangtou83,C016,Temperate Japonica,77.73
Laohudao,W202,Indica Intermediate,112
Laohuzhong,C071,Temperate Japonica,128.2
Laozaogu,W321,Indica III,160.6
Latisai1,W257,Tropical Japonica,171.6
LEBONNET,W295,Indica II,99.6
Leihuozhan,C183,Indica I,160.57
Lemont,W225,Tropical Japonica,90.2
Lengshuigu,C138,Temperate Japonica,190.9
Lengshuinuo,W322,Indica Intermediate,109
Li-Jiang-Xin-Tuan-Hei-Gu_,C004,Temperate Japonica,140.4
Liaogeng287,C028,Temperate Japonica,86.97
LimingB,C116,Temperate Japonica,87.03
Linjintangdao,W203,Indica Intermediate,185.6
Liusha1hao,C058,Indica I,103.7
Liushizao,C066,Indica I,120.27
Liuyezhan,C128,Indica I,158.23
Lixingeng,C087,Temperate Japonica,141.27
Longhuamaohu,C032,Temperate Japonica,107.8
Lua_Chua_Chan,W110,Tropical Japonica,154.4
Lucaihao,C033,Indica I,132.04
LUSITANO,W130,Temperate Japonica,92.6
M202,C014,Japonica Intermediate,82.43
M3122,W158,Intermediate,107.2
M401,W226,Temperate Japonica,93.2
Ma_ba_you_zhan,W282,Indica Intermediate,134.8
Maguzi,C177,Temperate Japonica,112.87
Mamagu-1,C104,Indica I,179.14
Mamagu-2,C108,Indica I,156.8
Manawthukha,W178,Indica III,97.8
Manga_Kely_694,W037,Indica Intermediate,173.8
Maweinian,C197,Indica I,175.77
Mayang_Khang,W001,Indica I,146.4
Meihuanuo-1,C091,Indica I,170.07
Meihuanuo-2,C092,Indica I,168.47
Mengguandamagu,W204,Indica I,154.2
menjiading2,C124,Indica Intermediate,110.27
Menjiagao1,C094,Indica Intermediate,154.87
Milyang23,W176,Indica II,101.4
MILYANG_23,C011,Indica II,100.43
Minbeiwanxian,C194,Indica Intermediate,173.4
Minghui63,C147,Indica II,108.1
Mitak,W067,Tropical Japonica,152.6
Moisdol,W278,Aus,146.6
Momi,C053,Indica Intermediate,116.63
MOROBEREKAN,C009,Indica Intermediate,106.8
Mowanggunei-1,C142,Indica III,198.57
Mowanggunei-2,C107,Indica III,193.67
MR185,W177,Indica II,100
MR77_(seberang),W221,Indica Intermediate,112.4
Muguanuo-1,C079,Temperate Japonica,143.32
Muguanuo-2,C133,Temperate Japonica,170.8
Muxiqiu,C067,Temperate Japonica,117.93
N-2703,W048,Aus,190.2
N_22,C013,Aus,150.43
Nam_Dawk_Mai,W039,Indica I,152
Nang_Bang_Bentre,W094,Aus,141.8
Nangaogu-1,C141,Indica I,190.93
Nangaogu-2,C088,Indica I,135.4
Nanjing11,C151,Indica I,107.73
Nanjing11-2,C165,Indica I,96.03
Nantehao,C072,Indica I,158.07
NANTON_NO._131,W062,Tropical Japonica,153.4
Nanxiongzaoyou,C162,Indica Intermediate,97.77
NC_1/536,W025,Aus,154.2
NEDA,W316,Indica II,99
NEW_BONNET,W300,Tropical Japonica,107.2
Niankenuo,C187,Temperate Japonica,144.47
Ninghui21,C119,Temperate Japonica,86.17
Nipponbare,C146,Temperate Japonica,74.7
Niwahutaw_Mochi,W059,Temperate Japonica,115.8
NORIN_11,W016,Temperate Japonica,78.8
NSICRC122,W309,Indica II,112.2
OM1706,W227,Indica Intermediate,106.6
OM1723,W228,Indica II,115
OM997,W183,Indica II,96.6
OM_2517,W313,Indica II,110.4
Onu_B,W041,Tropical Japonica,169.4
P59279,W271,Indica Intermediate,95.8
P_35,W103,Aus,111.4
Padi_Pohon_Batu,W024,Tropical Japonica,139.8
Padi_Tarab_Arab,W102,Tropical Japonica,182.6
Paikasa,W284,Tropical Japonica,135.4
Palung_2,W244,Indica II,102.4
Pan_Ju,W126,Indica I,157.6
Pathma_wee,W276,Indica III,160.2
PATNAI_6,W034,Aus,165.8
PD_46,W033,Indica I,155
PeiC122,C051,Intermediate,99.9
Pengshantieganzhan,W205,Indica I,161.8
Pergonil_15,W013,Temperate Japonica,98.6
Phalguna,W241,Indica II,119.2
PHUDUGEY,W049,Aus,163.8
Pokhreli,W236,Indica II,101.8
PR106,W170,Indica II,90.6
PR_116,W311,Indica II,100.6
PSB_RC_28,W184,Indica II,98
PSB_RC_66,W185,Indica II,95.6
PSBRC82,W308,Indica II,109.4
Pusa_(Basmatil),W191,Intermediate,121
Putaohuang,C189,Temperate Japonica,162.36
Q5,W234,Indica Intermediate,112.8
Qingsiai16B,C025,Indica Intermediate,82.83
Qitoubaigu,C078,Indica Intermediate,172.4
Qitougu,C143,Indica I,170.36
Qiuqianbai,W318,Indica I,139.3
Qiyuexian,C102,Indica Intermediate,150.67
Quinimpol,W004,Tropical Japonica,158.2
R644,W159,Indica II,95.2
R_67,W065,Tropical Japonica,149.4
R_75,W017,Tropical Japonica,126.2
Ragasu,W055,Intermediate,171.4
Red,W042,Indica Intermediate,185.4
Red_Khosha_Cerma,W014,VI/Aromatic,158
RP2151-173-1-8,W051,Indica II,107.4
RUBIO,W251,Tropical Japonica,129.8
RUSTYLATE/Zhong_413,W246,Indica Intermediate,151
Sada_solay,W280,Aus,145.8
SADAJIRA-19-303,W263,Indica Intermediate,114.8
SADRI_RICE_1,W252,VI/Aromatic,178
Sadu-cho,C001,Indica I,144.13
Safut_Khosha,W015,Aus,157.8
SAI-BUI-BAO,W254,Tropical Japonica,143.4
Sanbaili,C055,Indica I,119.03
Sanbangqishiluo,C186,Japonica Intermediate,180
Sankecui,C038,Indica Intermediate,101.33
Sanlicun,C090,Indica Intermediate,177.29
Santhi_990,W097,Intermediate,137
Sapundali_Local,W075,Indica Intermediate,186.2
Secano_do_Brazil,W008,Tropical Japonica,147
Sel._No._388,W010,Japonica Intermediate,135
Sereendan_Kuning,W253,Tropical Japonica,146.2
Sereno,W111,Indica III,203.6
Shan-Huang_Zhan-2-1_,C006,Indica Intermediate,108.23
Shan-Huang_Zhan-2-2_,C007,Indica Intermediate,107.97
Shanjiugu,C085,Japonica Intermediate,147.1
Shennong265,W160,Temperate Japonica,96
SHIMIZU_MOCHI,W011,Temperate Japonica,116.8
Shimla_Early,W135,Indica Intermediate,172.8
Sholay,W281,Temperate Japonica,150
Shufeng101,C036,Indica Intermediate,95.07
Shui_Ya_Jien,W070,Indica Intermediate,160.4
Shuiyuan300li,C120,Temperate Japonica,97.63
Shwe_Thwe_Yin_Hyv,W179,Indica II,93.8
Sibeitichao6,W328,Intermediate,117.4
Simpor,W113,Tropical Japonica,141
Sipirasikkam,W031,Indica I,159.6
SL_22-620,W099,Aus,149
Somewake,W060,Temperate Japonica,119.4
SORNAVARI,W072,Aus,154
Spin_Mere,W100,Aus,177.2
Srav_Prapay,W093,Indica III,133
Sugeng2hao,C064,Temperate Japonica,103.3
Suiyangnian,W235,Indica I,148.4
Swarna,C008,Indica Intermediate,87.47
TAICHU_MOCHI_59,W005,Tropical Japonica,133.8
Taidongludao,C123,Tropical Japonica,118.83
TAINO_38,W128,Intermediate,149.8
Tainong67,C012,Temperate Japonica,114.1
TAINUNG_45,W074,Indica Intermediate,162.2
Taishannuo,C041,Indica I,113.1
Taizhongxianxuan2,C068,Indica II,109.6
Taizhongzailai1,C169,Indica Intermediate,118.07
Tamanishiki,W056,Temperate Japonica,129
Tarommolai1,W220,VI/Aromatic,172
Tauli,W076,Aus,155
TB154E-TB-2,W218,Indica Intermediate,133.6
TCHAMPA,W121,Aus,177.6
TD_70,W133,Indica Intermediate,157.8
Teksichut,W249,Temperate Japonica,125.8
TEQING,W186,Indica Intermediate,98.2
Teqingxuanhui,C044,Indica Intermediate,104.33
TGMS29,W240,Indica Intermediate,111.6
Thang_10,W030,Indica Intermediate,172.6
THAVALU,W115,Aus,153.4
Tieganwu,C089,Temperate Japonica,142.43
TJ,W032,Indica I,159.6
TKM6,W245,Indica Intermediate,121.6
TKM9,W171,Indica Intermediate,96.8
Toga,W054,Indica Intermediate,190.2
Tsao_wan_ching,W272,Indica Intermediate,155.6
Type3,W216,Indica II,113.8
Up15,W259,Indica II,106
UPR191-66,W238,Indica II,95.4
Uwi,W285,Tropical Japonica,134.6
Uz-Rosz_275,W260,Tropical Japonica,134
UZ_ROS_59,W080,Indica I,141.4
UZ_ROS_7-13,W098,Aus,158.8
UZ_ROSZ_M38,W018,Temperate Japonica,93.4
Vary_Tarva_Osla,W063,Japonica Intermediate,114.2
WAB462-10-3-1,W119,Tropical Japonica,95.4
Wanlixian,C180,Indica I,147.15
Warrangal_Culture_1252,W023,Indica III,165.8
WC_10253,W116,Tropical Japonica,175.4
WC_2811,W006,Tropical Japonica,149.8
WC_3532,W123,Tropical Japonica,140.8
Weiguo,C026,Temperate Japonica,104.7
Wenxiangnuo,W320,Indica Intermediate,177.2
WH099,C099,Indica Intermediate,176.8
WH100,C100,Indica Intermediate,166.45
WH105,C105,Indica Intermediate,170.17
WH109,C109,Indica I,162.1
WH115,C115,Indica II,80.4
WH139,C139,Indica I,185.33
WH62,C062,Indica I,105.5
WIR_911,W109,Temperate Japonica,99.4
Won_Son_Zo_No._11,W026,Indica I,160.6
Wudadaozhong,W268,Indica Intermediate,91.4
Wukezhan,C192,Indica Intermediate,185.07
Wumanggaonuo,W206,Indica Intermediate,112
Wuzidui,C134,Temperate Japonica,172.46
Wuzuhonggu,C140,Indica I,164.4
X21,W229,Indica II,119.4
X22,W230,Indica II,-9
X23,W231,Indica II,117
XiangaiB,C121,Indica Intermediate,150.67
xiangaizao10,C021,Indica I,80.83
Xiangdao,C190,Indica I,160.9
Xianggu,C110,Indica I,159.33
Xiangnuo-1,C130,Temperate Japonica,155.4
Xiangnuo-2,C093,Temperate Japonica,164.73
Xiangwanxian1hao,C170,Indica I,94.87
Xiangwanxian3hao,C046,Indica Intermediate,172.37
Xiangzaoxian7hao,C113,Indica Intermediate,73.77
Xiaobaimi,C202,Indica I,176.33
Xiaohonggu,C095,Indica I,163.37
Xibaizhan,C135,Indica I,136.39
Ximaxian,C111,Temperate Japonica,206.13
Xingguo,C171,Temperate Japonica,140.61
Xiushui115,C054,Temperate Japonica,97.9
Xuanenchangtan,C131,Indica I,165.07
Xugunuo,C168,Indica Intermediate,104.87
Y134,W161,Indica II,102
Yangdao2hao,C061,Indica II,109.37
Yangkenuo,C188,Temperate Japonica,137.8
Yelicanghua,C035,Temperate Japonica,102.58
Yenfangghu,W247,Indica I,170.2
Yetuozai,W270,Indica Intermediate,99
Yizhixiang,C201,Indica Intermediate,194.93
Yong_Chal_Byo,W125,Intermediate,152
YOU-I_B,W087,Indica I,77.2
Youmangzaogeng,C070,Temperate Japonica,97.8
Younian,C191,Indica I,171.27
Yuanjing7,W162,Temperate Japonica,98.4
Yuexiangzhan,W163,Indica Intermediate,91.4
Yunguang8hao,W207,Temperate Japonica,114.6
Yunhui72,W267,Indica Intermediate,114.4
Yunjiang35,W266,Indica III,132.6
Yuyannuo-1,C103,Temperate Japonica,202.07
Yuyannuo-2,C196,Temperate Japonica,193
Zaoshunonghu6,C048,Temperate Japonica,97.33
Zaoshuxianghei,C163,Indica II,104.17
Zaoxian14,W164,Indica Intermediate,88.6
Zaoxian240,C203,Indica I,77.33
Zegu,C136,Indica I,182.14
Zhengxian232,C175,Indica Intermediate,111.2
Zhenshan97B,C145,Indica I,92.33
zhenshan97B-1,C024,Indica I,85.33
Zhong413,W165,Indica Intermediate,103.8
Zhongchao123,W208,Temperate Japonica,119.6
Zhonghua11,C149,Temperate Japonica,102.47
Zhonghua8hao,C172,Temperate Japonica,102.37
Zhonglouyihao1,C034,Temperate Japonica,110.5
Zhongnong4hao,C193,Indica I,158.4
Zhongyouzao81,W166,Indica Intermediate,137.8
ZhuzhenB,C159,Indica I,95.8
Zihui100,W167,Indica Intermediate,135.2
Zimangfeie,W324,Japonica Intermediate,156
Zinuo,C198,Indica Intermediate,173.77
ZIRI,W255,VI/Aromatic,145.8
